path,label,features,pcaFeatures
s3://projet-fruits-nassima/images/Test1/Avocado 1/4_100.jpg,Avocado 1,[0.33077037 0.         0.20546533 ... 0.         0.07098841 0.        ],"[-7.58834    -0.0911023   8.558306   -4.6721926  -0.22294725 -4.3352084
  6.113302    4.679627    4.7363257   1.5053097 ]"
s3://projet-fruits-nassima/images/Test1/Banana 1/87_100.jpg,Banana 1,[0.02801222 0.         0.         ... 0.03149748 0.         0.        ],"[14.608437   -0.73473686  3.1247048  -2.1698875  -4.561857    8.027921
  5.05087    -3.339117    1.9362061   2.3666961 ]"
s3://projet-fruits-nassima/images/Test1/Apple Granny Smith 1/3_100.jpg,Apple Granny Smith 1,[0.39283767 0.9488711  0.         ... 0.85851526 0.         0.        ],"[-5.2299094  2.140556   5.5283446 11.827429   7.084322   3.8393245
  1.2225231 -1.1612583  6.007817  -2.9697187]"
s3://projet-fruits-nassima/images/Test1/Apple hit 1/r1_3_100.jpg,Apple hit 1,[0.50753546 0.2660061  0.06237113 ... 0.03509062 0.5846418  1.7947303 ],"[ -2.1865268 -25.895859    2.1339314  -1.4702466   9.298345    1.8104035
   4.6544237  -2.4504547   2.0738242   1.6754335]"
s3://projet-fruits-nassima/images/Test1/Banana 1/r_326_100.jpg,Banana 1,[0.04957996 0.20482908 0.08560413 ... 0.90109134 0.         0.        ],"[19.209763   -0.5817805   5.934229    2.0254102   9.037561   -9.272982
  3.4050012  -2.7333372   1.0384215   0.06222495]"
s3://projet-fruits-nassima/images/Test1/Apricot 1/r_34_100.jpg,Apricot 1,[0.7739645  0.04279729 0.         ... 0.         0.29148102 0.        ],"[-1.7046548  -2.076821   -8.543089    4.4382486   2.9340136  -2.264228
 11.009155    2.6995902  -1.4478887   0.45127794]"
s3://projet-fruits-nassima/images/Test1/Apple hit 1/r2_307_100.jpg,Apple hit 1,[0.03411332 0.         0.09756197 ... 0.         0.         1.9092485 ],"[ -0.6992713 -14.15734     4.8357925  10.445828   -8.090548   -7.2072825
   5.661283   -5.0152383   3.5590603   0.2682972]"
s3://projet-fruits-nassima/images/Test1/Apricot 1/3_100.jpg,Apricot 1,[0.8995911  0.         0.         ... 0.         0.00736621 0.        ],"[-4.69855    2.75043   -5.6206994  3.635852   5.4800553 -1.5729545
  9.447864  -8.966198   3.5516055  2.4610746]"
s3://projet-fruits-nassima/images/Test1/Apple Granny Smith 1/r_86_100.jpg,Apple Granny Smith 1,[0.40983528 0.22716263 0.14898795 ... 0.         0.03591595 0.        ],"[-5.242662   -1.6759562   6.8140354   9.46962     2.9161777  -0.49190077
  0.95800406 -1.4445683  -5.0089917   6.578942  ]"
s3://projet-fruits-nassima/images/Test1/Apple Red 1/r_99_100.jpg,Apple Red 1,[0.12584019 0.07077707 0.         ... 0.         0.05582745 0.        ],"[-4.2315927 -3.816704  -5.616973  -2.5096712 -0.855133  -2.3108516
 -1.752438  -3.3685296 -2.602884  -4.867573 ]"
s3://projet-fruits-nassima/images/Test1/Apple Red 1/3_100.jpg,Apple Red 1,[0.9788749  0.         0.         ... 0.         0.05377476 0.        ],"[-5.43129   -0.775722  -4.4203186 -2.877414   2.1611922 -4.7669563
 -1.7191408 -3.922414   5.4856963  5.8314166]"
s3://projet-fruits-nassima/images/Test1/Avocado 1/r_78_100.jpg,Avocado 1,[0.6423951  0.03210058 0.19703434 ... 0.         0.         0.        ],"[-10.317189     0.35937175  13.610369    -4.3129716    3.3870857
  -1.9953678    7.664712    -7.5479665   -1.2105227   -0.74254656]"
